"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","sample1","sample2","direction","genotype","analysis"
"55748","GO:0046835",0.0378298548582475,0.999365950869716,1,8,"carbohydrate phosphorylation","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55749","GO:0031347",0.0400671309357523,0.993963292500669,3,12,"regulation of defense response","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55750","GO:0050660",0.0443855798711343,0.983938650065328,7,79,"flavin adenine dinucleotide binding","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55751","GO:0016049",0.0477973403835855,0.995357679367198,2,11,"cell growth","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55752","GO:0008318",0.0497143460867157,0.999158887680216,1,3,"protein prenyltransferase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55753","GO:0018342",0.0497143460867157,0.999158887680216,1,3,"protein prenylation","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"57664","GO:0009765",1.80088555022352e-08,0.999999998750096,11,33,"photosynthesis, light harvesting","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57665","GO:0006810",2.92277078841711e-07,0.999999921306655,26,242,"transport","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57666","GO:0005215",1.21687676096748e-06,0.999999711176879,20,169,"transporter activity","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57667","GO:0042626",2.37594822955869e-05,0.999997954335599,7,29,"ATPase activity, coupled to transmembrane movement of substances","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57668","GO:0046983",8.89698868853198e-05,0.99997421968628,17,158,"protein dimerization activity","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57669","GO:0016788",0.000407058209160351,0.99992063854285,9,66,"hydrolase activity, acting on ester bonds","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57670","GO:0055085",0.000904161576544766,0.999625352097753,22,322,"transmembrane transport","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57671","GO:0016020",0.00105562365197929,0.999447089098294,38,664,"membrane","CC","wtambr","wtaother","up","wt","wtambr_wtaother"
"57672","GO:0020037",0.00143681833272539,0.999499358447341,15,176,"heme binding","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57673","GO:0055114",0.00157521051680547,0.999122683909322,43,782,"oxidation-reduction process","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57674","GO:0009664",0.00188055224722685,0.999844381678515,4,15,"plant-type cell wall organization","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57675","GO:0006950",0.00209237390150432,0.999592830630392,7,50,"response to stress","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57676","GO:0019752",0.00213198728294943,0.999812531178415,4,17,"carboxylic acid metabolic process","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57677","GO:0005975",0.00246429457305933,0.998992432306232,18,262,"carbohydrate metabolic process","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57678","GO:0004351",0.00294727818608241,0.99996832171932,2,3,"glutamate decarboxylase activity","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57679","GO:0006536",0.00294727818608241,0.99996832171932,2,3,"glutamate metabolic process","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57680","GO:0016630",0.00312363687235486,0.999965402758662,2,3,"protochlorophyllide reductase activity","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57681","GO:0004553",0.00324921708596096,0.998981049649688,11,130,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57682","GO:0030001",0.0034073238181065,0.999270909068575,7,55,"metal ion transport","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57683","GO:0019538",0.00390931521353749,0.999581388490864,4,20,"protein metabolic process","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57684","GO:0003824",0.00443207085927694,0.997486167613146,37,710,"catalytic activity","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57685","GO:0016831",0.00506838141555002,0.999657601232882,3,11,"carboxy-lyase activity","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57686","GO:0006869",0.00584626742859602,0.999607830961059,3,9,"lipid transport","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57687","GO:0016887",0.00662300095773527,0.998175737034605,8,89,"ATPase activity","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57688","GO:0003968",0.00837624766731105,0.999747352004765,2,5,"RNA-directed RNA polymerase activity","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57689","GO:0005199",0.00864992417073388,0.999770835642752,2,4,"structural constituent of cell wall","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57690","GO:0019825",0.00988973176646002,0.99971884259857,2,4,"oxygen binding","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57691","GO:0009725",0.0135532132142788,0.998574946447888,3,17,"response to hormone","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57692","GO:0008289",0.0145810095000493,0.996924974280262,5,42,"lipid binding","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57693","GO:0005507",0.0152632368959996,0.997485276554472,4,27,"copper ion binding","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57694","GO:0008171",0.0167476391882667,0.998128323606757,3,15,"O-methyltransferase activity","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57695","GO:0004672",0.0168949655906859,0.989713337271913,34,730,"protein kinase activity","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57696","GO:0006468",0.0168949655906859,0.989713337271913,34,730,"protein phosphorylation","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57697","GO:0022891",0.0173997148186627,0.996990079134362,4,30,"substrate-specific transmembrane transporter activity","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57698","GO:0005506",0.0273902398841915,0.988309011354296,11,165,"iron ion binding","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57699","GO:0003825",0.0288828758125658,1,1,1,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57700","GO:0004451",0.0314605829332325,1,1,1,"isocitrate lyase activity","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57701","GO:0000982",0.0315398674368987,1,1,1,"transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57702","GO:0000987",0.0315398674368987,1,1,1,"core promoter proximal region sequence-specific DNA binding","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57703","GO:0008356",0.031666417513695,1,1,1,"asymmetric cell division","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57704","GO:0009956",0.031666417513695,1,1,1,"radial pattern formation","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57705","GO:0048366",0.031666417513695,1,1,1,"leaf development","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57706","GO:0004657",0.0317153264667477,1,1,1,"proline dehydrogenase activity","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57707","GO:0006562",0.0317153264667477,1,1,1,"proline catabolic process","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57708","GO:0050662",0.0321196794442368,0.993207019210252,4,36,"coenzyme binding","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57709","GO:0008442",0.0337520306900509,1,1,1,"3-hydroxyisobutyrate dehydrogenase activity","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57710","GO:0071949",0.0356699772668541,0.997158912434843,2,9,"FAD binding","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57711","GO:0022857",0.0362071860066591,0.990199404857813,5,54,"transmembrane transporter activity","MF","wtambr","wtaother","up","wt","wtambr_wtaother"
"57712","GO:0009415",0.0392854078213657,1,1,1,"response to water","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57713","GO:0006857",0.0396457430520977,0.993478397509092,3,24,"oligopeptide transport","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"57714","GO:0033177",0.0429075351256403,0.996317207615887,2,8,"proton-transporting two-sector ATPase complex, proton-transporting domain","CC","wtambr","wtaother","up","wt","wtambr_wtaother"
"57715","GO:0005576",0.0470476642542548,0.991781464625685,3,22,"extracellular region","CC","wtambr","wtaother","up","wt","wtambr_wtaother"
"57716","GO:0006006",0.0477681060366721,0.995366687715361,2,11,"glucose metabolic process","BP","wtambr","wtaother","up","wt","wtambr_wtaother"
"83530","GO:0000786",6.30721485819635e-08,0.999999984504479,37,66,"nucleosome","CC","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83531","GO:0003677",3.78617758101585e-07,1,175,769,"DNA binding","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83532","GO:0009765",7.43631660872895e-07,0.999999879550283,20,34,"photosynthesis, light harvesting","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83533","GO:0006006",3.96274315681002e-06,0.999999829778904,8,11,"glucose metabolic process","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83534","GO:0005215",6.32165884000985e-06,0.999997309088838,48,173,"transporter activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83535","GO:0006334",7.99383801037682e-06,0.999998418755255,20,35,"nucleosome assembly","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83536","GO:0003735",0.000226999131414875,0.999856162554078,116,353,"structural constituent of ribosome","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83537","GO:0046982",0.000236239947677623,0.999904621404378,34,80,"protein heterodimerization activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83538","GO:0005840",0.00024585666820334,0.999845335401783,112,339,"ribosome","CC","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83539","GO:0000160",0.000263989522303162,0.999921081762203,19,49,"phosphorelay signal transduction system","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83540","GO:0005852",0.000448395347589847,0.999932620820485,9,18,"eukaryotic translation initiation factor 3 complex","CC","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83541","GO:0006412",0.00048567314471944,0.999685051648314,114,356,"translation","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83542","GO:0005634",0.000518335233264736,0.999664995524136,98,464,"nucleus","CC","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83543","GO:0004553",0.000705783470525379,0.999686785489787,29,130,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83544","GO:0050661",0.00128012643604818,0.999683162475332,11,35,"NADP binding","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83545","GO:0005975",0.00146302522312715,0.999155345278201,52,267,"carbohydrate metabolic process","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83546","GO:0009664",0.0014735611126839,0.999753447996795,9,16,"plant-type cell wall organization","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83547","GO:0009538",0.00220387120692711,0.999762376916977,7,10,"photosystem I reaction center","CC","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83548","GO:0007275",0.00285704865739167,0.999139475075757,13,36,"multicellular organism development","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83549","GO:0009725",0.00286167611760757,0.999502117157463,7,18,"response to hormone","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83550","GO:0048046",0.00289353670226371,0.999569157489968,7,13,"apoplast","CC","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83551","GO:0016747",0.00313052908900679,0.998781702969393,18,66,"transferase activity, transferring acyl groups other than amino-acyl groups","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83552","GO:0016788",0.00396373506055361,0.998423480706972,18,65,"hydrolase activity, acting on ester bonds","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83553","GO:0006414",0.00398957866991602,0.999019617644142,10,23,"translational elongation","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83554","GO:0042254",0.00444687924763938,0.998975466031189,9,21,"ribosome biogenesis","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83555","GO:0005874",0.00449779988910009,0.998864162740899,9,29,"microtubule","CC","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83556","GO:0004568",0.00569228782956402,0.999742909672653,4,5,"chitinase activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83557","GO:0006032",0.00569228782956402,0.999742909672653,4,5,"chitin catabolic process","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83558","GO:0006457",0.00660527333206948,0.996762128263051,25,102,"protein folding","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83559","GO:0005853",0.00733645883299656,1,3,3,"eukaryotic translation elongation factor 1 complex","CC","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83560","GO:0006952",0.00814863145307415,0.9974622681913,13,26,"defense response","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83561","GO:0042555",0.00829764840620032,0.999559825599159,3,5,"MCM complex","CC","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83562","GO:0016020",0.00846875647697994,0.993712447735156,118,666,"membrane","CC","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83563","GO:0000155",0.00856178761190658,0.998314014157107,6,19,"phosphorelay sensor kinase activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83564","GO:0019310",0.00870036580271791,0.999675720189193,3,4,"inositol catabolic process","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83565","GO:0050113",0.00870036580271791,0.999675720189193,3,4,"inositol oxygenase activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83566","GO:0016620",0.00933415004548172,0.997532876017717,8,28,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83567","GO:0030529",0.00965572706177791,0.998444238772299,6,11,"intracellular ribonucleoprotein complex","CC","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83568","GO:0045910",0.00978705340086508,1,2,2,"negative regulation of DNA recombination","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83569","GO:0031167",0.00978714230561915,1,2,2,"rRNA methylation","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83570","GO:0000234",0.0104948184954791,1,2,2,"phosphoethanolamine N-methyltransferase activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83571","GO:0006656",0.0104948184954791,1,2,2,"phosphatidylcholine biosynthetic process","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83572","GO:0055085",0.0107196314834686,0.993006926364129,54,321,"transmembrane transport","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83573","GO:0019538",0.0108493551159399,0.997510490046074,7,19,"protein metabolic process","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83574","GO:0004298",0.0113850589140224,0.996977071517806,9,20,"threonine-type endopeptidase activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83575","GO:0005839",0.0113850589140224,0.996977071517806,9,20,"proteasome core complex","CC","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83576","GO:0051603",0.0113850589140224,0.996977071517806,9,20,"proteolysis involved in cellular protein catabolic process","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83577","GO:0005200",0.0117348434733224,0.998059678166665,5,13,"structural constituent of cytoskeleton","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83578","GO:0042026",0.0142459154728496,0.998121515165028,4,10,"protein refolding","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83579","GO:0003924",0.0143661630300605,0.993258496429404,18,86,"GTPase activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83580","GO:0006950",0.015449972383209,0.993544857196633,15,49,"response to stress","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83581","GO:0005524",0.0162272993646577,0.98681779499073,201,1462,"ATP binding","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83582","GO:0043531",0.0166138763469061,0.991596975823039,21,98,"ADP binding","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83583","GO:0046983",0.0167681662791203,0.990076721349152,35,144,"protein dimerization activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83584","GO:0006164",0.0174991806268355,0.998544621438685,3,6,"purine nucleotide biosynthetic process","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83585","GO:0006810",0.0176252388192634,0.988407575684736,51,245,"transport","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83586","GO:0003777",0.0196466870662712,0.992083855707158,12,56,"microtubule motor activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83587","GO:0007018",0.0196466870662712,0.992083855707158,12,56,"microtubule-based movement","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83588","GO:0006073",0.0197673870882662,0.996499747210552,5,11,"cellular glucan metabolic process","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83589","GO:0010411",0.0197673870882662,0.996499747210552,5,11,"xyloglucan metabolic process","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83590","GO:0016762",0.0197673870882662,0.996499747210552,5,11,"xyloglucan:xyloglucosyl transferase activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83591","GO:0042546",0.0197673870882662,0.996499747210552,5,11,"cell wall biogenesis","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83592","GO:0005819",0.0207851371306371,0.997060596326086,4,9,"spindle","CC","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83593","GO:0032147",0.0207851371306371,0.997060596326086,4,9,"activation of protein kinase activity","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83594","GO:0060236",0.0207851371306371,0.997060596326086,4,9,"regulation of mitotic spindle organization","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83595","GO:0008171",0.0233345749861384,0.994733534157485,6,14,"O-methyltransferase activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83596","GO:0006857",0.0240023243737871,0.993086772290834,7,25,"oligopeptide transport","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83597","GO:0051082",0.0242311366848036,0.988422354625807,17,66,"unfolded protein binding","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83598","GO:0005576",0.0244416153236458,0.992189589479322,9,23,"extracellular region","CC","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83599","GO:0006364",0.0248219854837663,0.991124337101192,10,31,"rRNA processing","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83600","GO:0009234",0.0268450531405079,1,2,2,"menaquinone biosynthetic process","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83601","GO:0004820",0.0274266259611769,0.999032523373675,2,3,"glycine-tRNA ligase activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83602","GO:0006426",0.0274266259611769,0.999032523373675,2,3,"glycyl-tRNA aminoacylation","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83603","GO:0004097",0.0274545249068077,0.999030992644135,2,3,"catechol oxidase activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83604","GO:0046148",0.0274545249068077,0.999030992644135,2,3,"pigment biosynthetic process","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83605","GO:0004345",0.0279166678626209,0.999005506285135,2,3,"glucose-6-phosphate dehydrogenase activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83606","GO:0004332",0.028280228056814,0.997156839692923,3,6,"fructose-bisphosphate aldolase activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83607","GO:0015743",0.0284973476792998,0.998973136786414,2,3,"malate transport","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83608","GO:0009058",0.0293174417853283,0.985700767012518,16,79,"biosynthetic process","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83609","GO:0016998",0.0300930362969247,0.99815524131827,3,4,"cell wall macromolecule catabolic process","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83610","GO:0004601",0.0315802877631142,0.98753851487977,11,35,"peroxidase activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83611","GO:0008061",0.0320244516182287,1,2,2,"chitin binding","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83612","GO:0008152",0.0322978399097,0.976050355018399,77,488,"metabolic process","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83613","GO:0004402",0.036454196892656,0.995552158972811,3,7,"histone acetyltransferase activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83614","GO:0016760",0.0366708539561185,0.99104837980214,5,18,"cellulose synthase (UDP-forming) activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83615","GO:0006270",0.0371925632127867,0.995146582235684,3,8,"DNA replication initiation","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83616","GO:0031369",0.0373452219901132,0.996410464025528,3,5,"translation initiation factor binding","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83617","GO:0005992",0.0375440888571119,0.991003704326736,5,16,"trehalose biosynthetic process","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83618","GO:0008017",0.0381240485224197,0.981665828078908,14,74,"microtubule binding","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83619","GO:0016630",0.0392124755319435,0.998309561727877,2,3,"protochlorophyllide reductase activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83620","GO:0030170",0.0394624764136544,0.981506596942286,13,69,"pyridoxal phosphate binding","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83621","GO:0005089",0.0398592132494392,0.994650887327413,3,8,"Rho guanyl-nucleotide exchange factor activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83622","GO:0046835",0.0412505203545804,0.994386503883193,3,8,"carbohydrate phosphorylation","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83623","GO:0004791",0.0423123734234634,0.998095186843159,2,3,"thioredoxin-disulfide reductase activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83624","GO:0019430",0.0423123734234634,0.998095186843159,2,3,"removal of superoxide radicals","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83625","GO:0005618",0.0431968694552452,0.984498180674465,8,30,"cell wall","CC","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83626","GO:0010309",0.0436112604907082,1,2,2,"acireductone dioxygenase [iron(II)-requiring] activity","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83627","GO:0051087",0.0443539193319044,0.989238308639076,5,14,"chaperone binding","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83628","GO:0032502",0.0448106689901066,0.988889729542153,5,15,"developmental process","BP","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"83629","GO:0005507",0.0493969704670558,0.980140757209926,10,30,"copper ion binding","MF","wtbmbr","wtbother","all","wt","wtbmbr_wtbother"
"85518","GO:0003735",9.22367184320747e-25,1,109,353,"structural constituent of ribosome","MF","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85519","GO:0006412",2.80527621720016e-24,1,108,356,"translation","BP","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85520","GO:0005840",6.44679654541061e-24,1,105,339,"ribosome","CC","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85521","GO:0000786",1.10610779031396e-18,1,37,66,"nucleosome","CC","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85522","GO:0046982",4.49266379891379e-13,1,34,80,"protein heterodimerization activity","MF","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85523","GO:0005622",1.96379361492129e-12,1,81,359,"intracellular","CC","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85524","GO:0006334",7.24452736022016e-12,1,20,35,"nucleosome assembly","BP","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85525","GO:0003677",2.63041534025584e-08,1,97,769,"DNA binding","MF","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85526","GO:0006457",1.63144721783666e-07,0.999999963200148,23,102,"protein folding","BP","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85527","GO:0005634",4.01547376592986e-07,1,61,464,"nucleus","CC","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85528","GO:0005852",6.55901074939303e-07,0.999999959142406,9,18,"eukaryotic translation initiation factor 3 complex","CC","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85529","GO:0003723",2.63068858142129e-06,0.999998980019192,40,269,"RNA binding","MF","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85530","GO:0042254",9.79912635203102e-06,0.999999065362126,9,21,"ribosome biogenesis","BP","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85531","GO:0003676",2.97802899161753e-05,0.999984237909319,65,610,"nucleic acid binding","MF","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85532","GO:0006414",4.09509342131136e-05,0.999995106657529,9,23,"translational elongation","BP","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85533","GO:0006364",5.50423000733885e-05,0.99999175401555,10,31,"rRNA processing","BP","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85534","GO:0003743",6.17647732589489e-05,0.999988220156621,12,43,"translation initiation factor activity","MF","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85535","GO:0008017",8.18485094073288e-05,0.999981541918443,13,74,"microtubule binding","MF","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85536","GO:0005874",8.59731727640089e-05,0.999989258441128,8,29,"microtubule","CC","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85537","GO:0003777",8.82147003422862e-05,0.999983111034677,11,56,"microtubule motor activity","MF","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85538","GO:0007018",8.82147003422862e-05,0.999983111034677,11,56,"microtubule-based movement","BP","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85539","GO:0030529",0.000135097182503858,0.999991045576522,6,11,"intracellular ribonucleoprotein complex","CC","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85540","GO:0006260",0.000152882925160539,0.999969222049582,11,50,"DNA replication","BP","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85541","GO:0004298",0.000237729559107923,0.999968768320938,8,20,"threonine-type endopeptidase activity","MF","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85542","GO:0005839",0.000237729559107923,0.999968768320938,8,20,"proteasome core complex","CC","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85543","GO:0051603",0.000237729559107923,0.999968768320938,8,20,"proteolysis involved in cellular protein catabolic process","BP","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
"85544","GO:0015935",0.000323643671460187,0.999934316232768,11,32,"small ribosomal subunit","CC","wtbmbr","wtbother","down","wt","wtbmbr_wtbother"
